recommended_action,final_score,programmeName,normalized_domain,review_providers,photo_signal,measurement_signal,gap_tags,primarySector,subSectors,approvalRate,epc,awinIndex,feedEnabled,productReporting,primaryRegion,displayUrl,sample_product_urls,already_in_lead_or_sovrn,existing_data_dir_found,existing_scrape_doc_found,existing_claim_found,probe_status,notes,advertiserId,base_gap_score,source_export,conversionRate,launchDate,paymentStatus,paymentRiskLevel,commissionMin,commissionMax,cookieLength,parentSectors,averagePaymentTime,descriptionShort
do_not_prioritize_now,76.4,Revelry (US),shoprevelry.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Womenswear,100.00,0.07,67.1457,no,no,US,https://shoprevelry.com/,,no,no,no,no,not_probed,,51597,55.0,AWIN_AllClothingAdvertisers.csv,2.80533,2023-05-24,amber,exposurelevel2,0,0,60,Retail & Shopping,67,"Revelry is a direct-to-consumer wedding party attire brand, with home try-on before you buy. Most pieces are made-to-order, which allows us to offer hundreds of styles, colors and fabrics. We also offer sizes 0-36, with inclusivity at our core."
do_not_prioritize_now,76.0,Penelope Chilvers US,penelopechilvers.com,unknown,no,yes,general_womenswear,Womenswear,Womenswear,100.00,0.05,45.0959,no,no,US,https://penelopechilvers.com/us/,,no,no,no,no,not_probed,,67736,55.0,AWIN_AllClothingAdvertisers.csv,0.0911985,2023-11-08,amber,exposurelevel4,0,0,30,Retail & Shopping,107,"We design footwear and accessories to fall in love – and stay in love - with. Combining contemporary, fashion led design with enduring style and traditional craftsmanship"
do_not_prioritize_now,75.7,Ana,annaoctober.com,unknown,no,yes,general_womenswear,Womenswear,Clothing|Womenswear,54.55,0.49,47.4686,no,no,US,https://annaoctober.com/,,no,no,no,no,not_probed,,116597,55.0,AWIN_AllClothingAdvertisers.csv,0.207857,2025-08-05,green,none,0,0,30,Retail & Shopping,40,"Anna October is a Ukrainian womenswear brand that embodies sensitivity, freedom, and empowerment. With a design philosophy that encourages women to embrace joy and confidence, the brand celebrates femininity through effortless elegance."
do_not_prioritize_now,75.6,REYEM (US),reyem.shop,unknown,no,yes,general_womenswear,Womenswear,Clothing|Clothing Accessories|Womenswear,100.00,0.03,58.4812,no,no,US,https://www.reyem.shop/,,no,no,no,no,not_probed,,121966,55.0,AWIN_AllClothingAdvertisers.csv,0.144875,2025-11-18,amber,exposurelevel4,0,0,30,Retail & Shopping,55,"REYÈM is an Amsterdam-based contemporary womenswear brand creating effortless, elevated pieces made for comfort, confidence, and durability. Made in Europe from high-quality responsible fabrics."
do_not_prioritize_now,75.6,ShirtSpace (US),shirtspace.com,unknown,no,yes,general_womenswear,Clothing,Childrenswear|Clothing|DIY|Group Buying|Menswear|Womenswear,100.00,0.03,0,no,no,US,https://www.shirtspace.com/,,no,no,no,no,not_probed,,85691,55.0,AWIN_AllClothingAdvertisers.csv,0.775194,2024-08-20,amber,exposurelevel1,0,0,30,Retail & Shopping,null,"We are ShirtSpace, the shirt place! Providing wholesale blank t-shirts and apparel. Through building communities, education and innovation, we hope to uplift and inspire small to big businesses and hobbyists within the blank apparel decorating industry."
do_not_prioritize_now,75.6,Betting on the Wedding,bettingonthewedding.com,unknown,no,yes,general_womenswear,Entertainment Downloads,Gifts & Flowers|Home & Garden|Womenswear|Entertainment Downloads|Online Gaming|Software Downloads,100.00,0.03,72.9689,no,no,US,https://www.bettingonthewedding.com,,no,no,no,no,not_probed,,116289,55.0,AWIN_AllClothingAdvertisers.csv,0.632911,2025-05-27,amber,exposurelevel1,0,0,30,,39,"Betting on the Wedding is the viral app that sparks laughs, boosts guest engagement, and creates unforgettable wedding moments. Guests bet on fun things like who’ll cry first, if there’s a surprise dance, or which grandma will hit the dance floor first!"
do_not_prioritize_now,75.4,"Guangzhou Zhuoyun Network Technology Co., Ltd.",georigia.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,0.52,0,yes,yes,US,https://www.georigia.com,,no,no,no,no,not_probed,,103265,20.0,AWIN_AllClothingAdvertisers.csv,11.1111,2025-08-05,green,none,0,0,7,Retail & Shopping,null,"Georigia focuses on bringing comfortable clothing to women, and focuses on fashion, sports style and urban practicality. Georigia can generate up to $100,000 in sales per month, and is currently developing a promotion plan for affiliate"
do_not_prioritize_now,75.2,Thats So Fetch (US),thatssofetch.com,unknown,no,yes,general_womenswear,Womenswear,Clothing|Clothing Accessories|Womenswear,100.00,0.01,50.3995,no,no,US,https://thatssofetch.com/,,no,no,no,no,not_probed,,50593,55.0,AWIN_AllClothingAdvertisers.csv,0.0656383,2023-06-05,amber,exposurelevel4,0,0,1,Retail & Shopping,74,"Thats So Fetch is a women's fashion brand that started out of Melbourne, Australia. The online store ships internationally and after blowing up in Australia and New Zealand the brand is now growing steadily in the US."
do_not_prioritize_now,75.0,Bedfellow,bedfellowdreams.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://www.bedfellowdreams.com,,no,no,no,no,not_probed,,93915,65.0,AWIN_AllClothingAdvertisers.csv,,2025-08-12,green,none,0,0,30,Retail & Shopping,null,"At Bedfellow, we believe it's time we respect our sleep. Especially for men. No more old boxers and worn out t-shirts to sleep. No more button down dad pajamas from the 50s. No more hot flannel pants. Let's start sleepin"
do_not_prioritize_now,75.0,Buddha Pants,buddhapants.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://BUddhaPants.com,,no,no,no,no,not_probed,,94019,65.0,AWIN_AllClothingAdvertisers.csv,,2025-07-30,green,none,0,0,30,Retail & Shopping,null,"Our mission is to create organic, fun, comfy, multi-functional garments just for you! Buddha Pants® is a clothing company dedicated to creating multi-functional travel ready apparel, focusing on comfort & encouraging an active lifestyl"
do_not_prioritize_now,75.0,Juana de Arco,juanadearcousa.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://www.juanadearcousa.com,,no,no,no,no,not_probed,,39096,65.0,AWIN_AllClothingAdvertisers.csv,,2025-07-30,green,none,0,0,30,Retail & Shopping,null,"Juana de Arco is an apparel collection of unique athletic and lifestyle wear. Every single garment we make is printed by hand and has a unique color and pattern combination that make it one-of-a-kind, so lit"
do_not_prioritize_now,75.0,Ranka Group,us.jillyoga.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://us.jillyoga.com,,no,no,no,no,not_probed,,45215,65.0,AWIN_AllClothingAdvertisers.csv,,2025-08-12,green,none,0,0,90,Retail & Shopping,null,"Jill Yoga activewear offers the latest in quality, fashionable yoga and activewear all at great prices!"
do_not_prioritize_now,75.0,astoria activewear,astoria-activewear.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://www.astoria-activewear.com,,no,no,no,no,not_probed,,76390,65.0,AWIN_AllClothingAdvertisers.csv,,2025-07-29,amber,exposurelevel5,0,0,60,Retail & Shopping,null,Astoria Activewear is a lifestyle brand focused on the promotion of health and fit-focused active-wear. We will always bring you quality active-wear to empower you to reach your goals.
do_not_prioritize_now,75.0,The Denim Blonde,thedenimblonde.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://www.thedenimblonde.com,,no,no,no,no,not_probed,,93671,65.0,AWIN_AllClothingAdvertisers.csv,,2025-08-05,green,none,0,0,30,Retail & Shopping,null,
do_not_prioritize_now,75.0,Cinorion Inc.,astroremiges.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://astroremiges.com,,no,no,no,no,not_probed,,111202,65.0,AWIN_AllClothingAdvertisers.csv,,2025-08-05,green,none,0,0,30,Retail & Shopping,null,"At Astroremiges, we specialize in high-quality activewear made from premium materials, designed for comfort and performance. Our products are available from our West Coast warehouse, ensuring fast and reliable shipping within the U.S. W"
do_not_prioritize_now,75.0,Born Primitive,bornprimitive.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://bornprimitive.com,,no,no,no,no,not_probed,,50311,65.0,AWIN_AllClothingAdvertisers.csv,,2025-08-05,green,none,0,0,7,Retail & Shopping,null,"Introducing Born Primitive, the athletic apparel brand that is committed to bringing together a community of dedicated athletes who strive for excellence. We are more than just a brand - we are a movement that celebrates hard work, perseverance,"
do_not_prioritize_now,75.0,Short Story,shortstorybox.com,unknown,no,yes,petite_tall;general_womenswear,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://shortstorybox.com,,no,no,no,no,home_ok,,95991,65.0,AWIN_AllClothingAdvertisers.csv,,2025-08-05,green,none,0,0,30,Retail & Shopping,null,"Thank you for your interest in the Short Story Affiliate program. Short Story is the premier personal styling service exclusively dedicated to petite women. We're a team of petite women ourselves, who understand the struggle of finding well fitt"
do_not_prioritize_now,75.0,Revtown USA,revtownusa.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://www.revtownusa.com,,no,no,no,no,not_probed,,33629,65.0,AWIN_AllClothingAdvertisers.csv,,2025-07-29,green,none,0,0,7,Retail & Shopping,null,Revtown: Premium jeans and shirts at a revolutionary price. Premium Denim. Ridiculous Comfort. Our Italian milled denim is infused with a trademark athletic stretch yarn so you get premium jeans with an amazing fit and the comfort of yo
do_not_prioritize_now,75.0,Bee Petite Boutique,shopbeepetite.com,unknown,no,yes,petite_tall;general_womenswear,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://shopbeepetite.com,https://shopbeepetite.com/products/wrapping-you-with-love-sweater-dress-black-copy | https://shopbeepetite.com/products/wrapping-you-with-love-sweater-dress-black | https://shopbeepetite.com/products/green-goddess-babydoll-blouse,no,no,no,no,home_ok,,34917,65.0,AWIN_AllClothingAdvertisers.csv,,2025-08-13,green,none,0,0,90,Retail & Shopping,null,"Women's petite boutique for petite women 4'10"" - 5'3"""
do_not_prioritize_now,75.0,Lazypants,shoplazypants.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://shoplazypants.com/discount/cloud9,,no,no,no,no,not_probed,,89965,65.0,AWIN_AllClothingAdvertisers.csv,,2025-05-28,amber,exposurelevel5,0,0,30,Retail & Shopping,null,"Lazypants is a comfortable yet cool sweatpants and lifestyle brand. Our pants and sweatshirts have an average retail price of $100 USD, and an average order total of $140 USD. We offer an 10% commission with an incremental option based on perfor"
do_not_prioritize_now,75.0,polyalien,polyalien.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://www.polyalien.com,,no,no,no,no,not_probed,,101033,65.0,AWIN_AllClothingAdvertisers.csv,,2025-07-23,green,none,0,0,30,Retail & Shopping,null,"www.polyaliens.com is fitness gear that encourages you to train hard and lift heavy. Our apparel combines powerful motivational workout tees, tanks, and more with soft, high-quality materials to inspire you in and out of the gym. We ship worldwi"
do_not_prioritize_now,75.0,Laurel Canyon Tennis Club,laurelcanyontennisclub.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://www.laurelcanyontennisclub.com,,no,no,no,no,not_probed,,38414,65.0,AWIN_AllClothingAdvertisers.csv,,2025-07-30,green,none,0,0,90,Retail & Shopping,60,"Laurel Canyon Tennis Club is a free-spirited activewear brand inspired by the psychedelic vibe of 1970s California. Bringing the counterculture to the courts, our colorful tennis and athletic apparel is designed, printed and sewn in California"
do_not_prioritize_now,75.0,DENIMAXX,denimaxx.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://DENIMAXX.COM,,no,no,no,no,not_probed,,38712,65.0,AWIN_AllClothingAdvertisers.csv,,2025-08-12,green,none,0,0,90,Retail & Shopping,null,"A family-owned business since 1977, Denimaxx became well-recognized as a luxury outerwear wholesaler to high-end department stores, later expanding into ski wear and activewear. We then transitioned into retailing with a specialty store on New Y"
do_not_prioritize_now,75.0,In The Ivy LLC / Whiskey Skies,whiskeyskies.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://WhiskeySkies.com,,no,no,no,no,not_probed,,52351,65.0,AWIN_AllClothingAdvertisers.csv,,2025-08-12,green,none,0,0,30,Retail & Shopping,null,"Whiskey Skies carries clothing S-3XL and denim 0-24W, home decor, accessories, shoes and anything a girl can need!"
do_not_prioritize_now,75.0,SPM International LLC,shwetambari.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://shwetambari.com,,no,no,no,no,not_probed,,78904,65.0,AWIN_AllClothingAdvertisers.csv,,2025-07-24,green,none,0,0,90,Retail & Shopping,null,"SHWETAMBARI is a New York based lifestyle brand, focused on luxury clothing and accessories for individuals seeking new ways to showcase their personal style. We offer a range of ready to wear dresses, pants, tops etc."
do_not_prioritize_now,75.0,ANN|JEAN Boutique,brynleeandbriggs.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://www.brynleeandbriggs.com,,no,no,no,no,not_probed,,97261,65.0,AWIN_AllClothingAdvertisers.csv,,2025-08-12,green,none,0,0,90,Retail & Shopping,null,"Hello, Brynlee + Briggs is a mom owned children's boutique named after both of my little kiddos, offering up to date trendy and cute styles to the little ones in your life. As a locally owned small business boutique, our goal is to offer ba"
do_not_prioritize_now,75.0,Teddy Stratford,teddystratford.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://teddystratford.com,,no,no,no,no,not_probed,,94633,65.0,AWIN_AllClothingAdvertisers.csv,,2025-07-29,green,none,0,0,30,Retail & Shopping,null,Our premium and handmade men's button ups feature an athletic fit that offers a closer fit without the gapping. The Zip Fit shirt was created to address three common problems with button downs: 1 - The traditional baggy button dow
do_not_prioritize_now,75.0,Julia Amory,juliaamory.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,1.67,55.639,no,yes,US,https://www.juliaamory.com,,no,no,no,no,not_probed,,62567,20.0,AWIN_AllClothingAdvertisers.csv,4.47234,2025-07-17,green,none,0,0,30,Retail & Shopping,72,"Julia Amory is a women's apparel lifestyle brand based in Palm Beach, Florida. The business is primarily D2C eCommerce business with a brick-and-mortar retail presence in Palm Beach, FL, Charleston, SC Southampton, NY."
do_not_prioritize_now,75.0,Lolima,shoplolima.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,11.38,62.1375,no,yes,US,https://www.shoplolima.com,,no,no,no,no,not_probed,,98559,20.0,AWIN_AllClothingAdvertisers.csv,16.6667,2025-07-23,amber,exposurelevel5,0,0,30,Retail & Shopping,null,"Lolima pairs fashion and function so that women can confidently pursue their pastimes in outfits that are both sun and style conscious. Whether it’s the carpool line or a dream-worthy resort, Lolima aims to make sure you're taking the best possi"
do_not_prioritize_now,75.0,Beyond By Vera,beyondbyvera.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,0.50,53.9289,yes,yes,US,https://beyondbyvera.com,,no,no,no,no,not_probed,,51897,20.0,AWIN_AllClothingAdvertisers.csv,2.21277,2025-08-12,green,none,0,0,30,,73,BEYOND by Vera is an ethically manufactured womenswear brand created by Austrian designer Vera Fritsch to combine her twin loves of travel and storytelling. Every BEYOND by Vera print is original and hand-drawn by Vera and her team before being
do_not_prioritize_now,75.0,Aratta LLC,shoparatta.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,11.41,62.1414,no,yes,US,https://www.shoparatta.com,,no,no,no,no,not_probed,,49053,20.0,AWIN_AllClothingAdvertisers.csv,30.4147,2025-07-24,green,none,0,0,90,Retail & Shopping,70,"Aratta is a contemporary womenswear collection of extraordinarily striking items including tops, jackets and dresses. Aratta’s look is very distinct, combining knit and woven materials with unique elements inspired by the vintage world. Driven b"
do_not_prioritize_now,75.0,Ossou (US),ossou.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,4.35,68.0094,no,yes,US,https://ossou.com/,,no,no,no,no,not_probed,,117055,20.0,AWIN_AllClothingAdvertisers.csv,3.24074,2025-07-31,amber,exposurelevel4,0,0,30,Retail & Shopping,68,"Ossou is a women’s ready-to-wear brand with a singular vision: to elevate the foundation of a modern wardrobe. Grounded in the idea of durability and longevity, the design philosophy embraces a reinvention of traditional forms."
do_not_prioritize_now,75.0,Contessa Mills,contessamills.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,5.50,62.2168,no,yes,US,https://contessamills.com,,no,no,no,no,not_probed,,105309,20.0,AWIN_AllClothingAdvertisers.csv,14.2857,2025-07-24,green,none,0,0,90,Retail & Shopping,76,"Contessa Mills is a luxury ready-to-wear clothing brand that sells tailored, bold womenswear. The prices range from $495 to $1495 and we offer 20% commission to affiliate partners."
do_not_prioritize_now,75.0,Satingel,satingel.com,Judge.me,yes,yes,full_bust_lingerie;general_womenswear,Health & Beauty,Erotic|FMCG|Health & Beauty|Lingerie|Pharmaceuticals|Womenswear,0.00,0.00,0,no,yes,US,https://satingel.com/,https://satingel.com/products/satingel-vitamin-e-enriched-water-based-personal-lubricant | https://satingel.com/products/satingel-caramel-flavored-water-based-personal-lubricant | https://satingel.com/products/satingel-peach-flavored-water-based-personal-lubricant,no,no,no,no,home_ok,,124924,-10.0,AWIN_AllClothingAdvertisers.csv,,2026-03-09,amber,exposurelevel1,0,0,30,Retail & Shopping,null,"SatinGel is a US brand creating premium water-based personal lubricants with gentle, clean formulas and subtle flavors. Enriched with Vitamin E in select options, we focus on comfort, hydration, and everyday wellness. Earn 20% commission!"
do_not_prioritize_now,74.8,JOJU,livejoju.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,0.49,54.2746,yes,yes,US,https://livejoju.com,,no,no,no,no,not_probed,,83435,20.0,AWIN_AllClothingAdvertisers.csv,3.22581,2025-07-24,green,none,0,0,30,Retail & Shopping,64,Welcome to JOJU Elevated Sun Shirts for Men & Women Buttery Soft | Ultra Lightweight | UPF 5+ Sun Protection
do_not_prioritize_now,74.8,Stahls,stahls.com,unknown,no,yes,bottoms_denim_active,Clothing,Clothing|DIY|Sportswear|Business Services (B2B),100.00,0.99,80.5838,yes,yes,US,https://www.stahls.com,,no,no,no,no,not_probed,,63060,10.0,AWIN_AllClothingAdvertisers.csv,2.81794,2025-07-17,green,none,0,0,30,,31,"GroupeSTAHL is a leading international manufacturer and supplier in custom textile printing. Our global network delivers transfers, supplies, and equipment trusted by growing apparel businesses, major brands, and professional sports teams."
do_not_prioritize_now,74.4,Toccin,toccin.com,unknown,no,yes,general_womenswear,Clothing,Clothing,96.97,4.21,80.9423,no,yes,US,https://toccin.com,,no,no,no,no,not_probed,,91739,20.0,AWIN_AllClothingAdvertisers.csv,8.21831,2025-07-29,green,none,0,0,30,Retail & Shopping,40,"Step into the Exquisite World of Luxury Fashion and Refined Living with Our Exclusive Affiliate Program. At TOCCIN, our essence revolves around empowering women with apparel that exudes confidence, comfort, and timeless elegance. Founded on t"
do_not_prioritize_now,74.2,Angel Jackets,angeljackets.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,0.46,88.1578,yes,yes,US,https://www.angeljackets.com/categories/Mens-Leather-Jackets,,no,no,no,no,not_probed,,94387,20.0,AWIN_AllClothingAdvertisers.csv,7.11186,2025-08-05,green,none,0,0,30,Retail & Shopping,25,JOIN ANGEL JACKETS AFFILIATE PROGRAM TODAY!Angel Jackets is an online clothing brand that sells leather jackets and outerwear for men and women worldwide. Our products are infused with 100% real leather material.
do_not_prioritize_now,73.5,PLAINANDSIMPLE,plainandsimple.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Green (Eco friendly)|Menswear|Womenswear,88.29,0.04,54.5403,no,no,GB,https://www.plainandsimple.com/,,no,no,no,no,not_probed,,73183,55.0,AWIN_AllClothingAdvertisers.csv,2.13971,2024-01-26,amber,exposurelevel1,0,0,30,,50,"We create premium mono material organic cotton essentials, built to last and made to be recycled or composted. We're here to make getting dressed feel simple again."
do_not_prioritize_now,73.5,CECILIA,dearcecilia.com,unknown,no,yes,general_womenswear,Womenswear,Clothing|Home & Garden|Womenswear,83.33,0.09,68.8061,no,no,US,https://dearcecilia.com,,no,no,no,no,not_probed,,112040,55.0,AWIN_AllClothingAdvertisers.csv,0.63006,2025-02-11,amber,exposurelevel1,0,0,30,Retail & Shopping,35,CECILIA is a luxury lifestyle brand dedicated to the exploration and celebration of horse cultures throughout the world. We make high quality and thoughtfully produced pieces designed with the horse girl in mind.
do_not_prioritize_now,73.2,"Foshan City QKE clothing Co., LTD",sthcute.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,1.16,0,no,yes,US,https://www.sthcute.com,,no,no,no,no,not_probed,,106441,20.0,AWIN_AllClothingAdvertisers.csv,11.1111,2025-07-23,green,none,0,0,90,Retail & Shopping,64,"Join the Sthcute Affiliate Program and Earn More Commissions I’m Johnny from Sthcute, a rising brand specializing in women’s fashion. Sthcute has been established for 4 years, with a consistent 30% annual sales growth. We own a fully automate"
do_not_prioritize_now,72.3,Alberto Nardoni Affiliate Program US,albertonardoni.com,unknown,no,yes,dresses_formal,Clothing,Clothing,80.65,0.31,53.0768,yes,no,US,https://albertonardoni.com/,,no,no,no,no,not_probed,,102429,35.0,AWIN_AllClothingAdvertisers.csv,1.42224,2024-09-20,amber,exposurelevel1,0,0,30,Retail & Shopping,57,"Alberto Nardoni offers premium men's suits and formalwear, known for quality craftsmanship and modern elegance. Specializing in tuxedos and accessories for formal events, the brand provides timeless styles with a focus on luxury and sophistication."
do_not_prioritize_now,72.2,FJackets,fjackets.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,0.36,74.1971,yes,yes,US,https://www.fjackets.com,,no,no,no,no,not_probed,,49327,20.0,AWIN_AllClothingAdvertisers.csv,4.4949,2025-08-05,green,none,0,0,30,,43,FJackets Affiliate Program Become an FJackets Affiliate today! FJackets is a clothing brand that operates online and specializes in selling leather jackets for both men and women on a
do_not_prioritize_now,71.7,"Hefei Chuangyun Network Technology Co., Ltd.",ezabutus.com,unknown,no,yes,general_womenswear,Clothing,Clothing,33.33,1.00,0,yes,yes,US,https://ezabutus.com,,no,no,no,no,not_probed,,107710,20.0,AWIN_AllClothingAdvertisers.csv,16.6667,2025-07-29,green,none,0,0,30,Retail & Shopping,74,"1. Ezabutus was Founded in 2020 by a group of independent female designers who have multiple identities: daughters, wives, mothers, but more importantly themselves. Ezabutus encourages every female individual to balance life and work, return to"
do_not_prioritize_now,70.6,Knyt Studios,knytstudios.com,unknown,no,yes,general_womenswear,Clothing,Clothing,100.00,1.03,0,no,yes,US,https://www.knytstudios.com,,no,no,no,no,not_probed,,81979,20.0,AWIN_AllClothingAdvertisers.csv,10.8876,2025-07-29,amber,exposurelevel5,0,0,1,Retail & Shopping,null,"Knyt Studios is a sustainable, classic and timeless women's ready-to-wear brand."
do_not_prioritize_now,70.0,Never Fully Dressed US,neverfullydressed.com,unknown,no,yes,general_womenswear,Womenswear,Childrenswear|Clothing|Clothing Accessories|Womenswear,47.91,0.27,28.2157,no,no,US,https://www.neverfullydressed.com/,,no,no,no,no,not_probed,,21909,55.0,AWIN_AllClothingAdvertisers.csv,6.62893,2021-03-10,amber,exposurelevel2,0,0,14,Retail & Shopping,136,"Never Fully Dressed, the brand recognised Globally for its strong social presence, versatile dressing and chic wardrobe staples.With charity at the heart of the business NFD works with relatable causes which connects with both their staff and community"
do_not_prioritize_now,70.0,Coral Reef Swim US,coralreefswim.com,unknown,no,yes,swim_shapewear;general_womenswear,Womenswear,Womenswear,0.00,0.00,0,no,yes,US,https://coralreefswim.com/,https://manavaswim.com/products/destination-top-lavender-love | https://manavaswim.com/products/leisure-reversible-bottom-ocean-blue-floral | https://manavaswim.com/products/vacationer-bottom-surface-blue,no,no,no,no,home_ok,,86403,60.0,AWIN_AllClothingAdvertisers.csv,,2024-07-03,amber,exposurelevel1,0,0,30,Retail & Shopping,56,"Coral Reef Swim believes in the perfect beach day for every body. We use the highest quality fabric available to offer all day comfort, support, and unmatched style. Every body deserves a bathing suit that displays beauty and instills confidence."
do_not_prioritize_now,70.0,Shiny by Nature,shinybynature.com,unknown,no,yes,plus_curve,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://shinybynature.com,https://shinybynature.com/products/starlight-side-chain-silver | https://shinybynature.com/products/stardrop-side-chain-silver | https://shinybynature.com/products/cosmic-side-chain-silver,no,no,no,no,home_ok,,40596,60.0,AWIN_AllClothingAdvertisers.csv,,2025-08-05,amber,exposurelevel5,0,0,90,Retail & Shopping,null,Shiny by Nature is a colorful fashion brand that specializes in clothes for curvy people in sizes XS-6X!
do_not_prioritize_now,70.0,Plus Size Bath Wraps,plussizebathwraps.com,unknown,no,yes,plus_curve,Clothing,Clothing,0.00,0.00,0,no,yes,US,https://www.plussizebathwraps.com/home.htm,,no,no,no,no,fetch_error,,87769,60.0,AWIN_AllClothingAdvertisers.csv,,2025-08-12,green,none,0,0,90,Retail & Shopping,null,"Have you ever tried wrapping an average size towel around your voluptuous figure after a shower or bath, only to find that the towel will not close or stay secure? The Voluptuous Bath Wrap was created because the average towel does not adequatel"
do_not_prioritize_now,70.0,Emote World,emote-world.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Clothing Accessories|Menswear|Shoes|Womenswear,0.00,0.00,0,yes,no,US,https://emote-world.com/,,no,no,no,no,not_probed,,117569,55.0,AWIN_AllClothingAdvertisers.csv,,2025-07-17,green,none,0,0,30,Retail & Shopping,null,"EMOTE is a travellers' wardrobe - an edited selection of essential travel pieces and the precious things we collect along the way. This is a shared wardrobe that is gender expansive, ethically globally sourced and made from 100% deadstock raw material."
do_not_prioritize_now,70.0,Club L London US,clubllondon.us,unknown,no,yes,general_womenswear,Womenswear,Clothing|Womenswear,0.00,0.00,0,yes,no,US,https://www.clubllondon.us,,no,no,no,no,not_probed,,31523,55.0,AWIN_AllClothingAdvertisers.csv,,2022-12-14,amber,exposurelevel2,0,0,30,Retail & Shopping,114,"Club L London is the next-generation online fashion retailer for the forward-thinking consumer. Expertly designed in-house, Club L specialises in accessible luxury, unique designs and unrivalled quality made to flatter every figure in sizes 0-20."
do_not_prioritize_now,70.0,EfuiHarlley,efuiharlley.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Womenswear,0.00,0.00,,yes,no,US,https://efuiharlley.com/collections/,,no,no,no,no,not_probed,,126409,55.0,AWIN_AllClothingAdvertisers.csv,,2026-05-11,amber,exposurelevel1,0,0,30,Retail & Shopping,null,"Efui Harlley is a contemporary fashion brand offering bold, expressive, art‑driven apparel designed for individuals who want to stand out with confidence. Our collections blend modern style with cultural storytelling, delivering unique pieces that resonat"
do_not_prioritize_now,70.0,BA&SH US,ba-sh.com,unknown,no,yes,general_womenswear,Womenswear,Clothing|Womenswear,0.00,0.00,0,yes,no,US,https://ba-sh.com/us/,,no,no,no,no,not_probed,,124796,55.0,AWIN_AllClothingAdvertisers.csv,,2026-03-17,amber,exposurelevel4,0,0,30,Retail & Shopping,null,"Experience the Parisian soul of bash. Founded by Barbara Sharon, we create timeless pieces that blend bohemian freedom with modern sophistication. Our curated wardrobe is designed for women to feel confident, feminine, and effortlessly chic."
do_not_prioritize_now,70.0,CICYBELL,cicybell.com,unknown,no,yes,general_womenswear,Clothing,Clothing|Clothing Accessories|Womenswear,0.00,0.00,,yes,no,US,https://cicybell.com/,,no,no,no,no,not_probed,,124976,55.0,AWIN_AllClothingAdvertisers.csv,,2026-05-27,amber,exposurelevel4,0,0,60,Retail & Shopping,null,"Why Partner with CicyBell?High Commission Rates: Earn a generous and competitive commission on every sale, ranging from 10% to 20%.Strong Average Order Value (AOV): Benefit from a high AOV of $70+, with a strong growth trend toward $85, ensuring signi"
